afternoon
against
airplane
already
although
another
anything
attention
balloon
beautiful
because
believe
between
birthday
breakfast
brother
brought
building
captain
carried
chicken
children
clothes
company
countries
country
different
discover
evening
everybody
everyone
everything
example
favorite
feeling
finally
fishing
following
getting
grandmother
happened
happiest
happiness
himself
hospital
hundred
important
instead
interest
largest
looking
morning
mountain
nothing
outside
picture
playing
present
president
principal
probably
problem
reading
receive
remember
running
sending
sentence
seventh
several
sitting
someone
something
sometime
special
spelling
stopped
stories
student
suddenly
suppose
surprise
swimming
talking
teacher
thinking
thought
through
together
tomorrow
tonight
trouble
usually
village
walking
weather
without
working
writing
written
yesterday
