able
about
above
across
add
afraid
after
afternoon
again
against
age
ago
air
airplane
all
almost
alone
along
already
also
although
always
am
America
among
an
and
animal
another
answer
any
anything
apple
are
around
arrive
art
as
ask
at
ate
attention
aunt
away
awhile
baby
back
bad
bag
ball
balloon
bark
barn
base
basket
bat
be
beach
bear
beautiful
because
become
bed
bee
been
before
began
begin
behind
being
believe
below
belt
best
better
between
big
bike
bill
bird
birthday
black
blue
board
boat
body
bones
book
born
both
bottom
bought
box
boy
bread
breakfast
bright
bring
broke
broken
brother
brought
brown
build
building
built
bus
busy
but
buy
by
cabin
cage
cake
call
came
camp
can
candy
captain
car
care
carried
carry
cat
catch
cattle
caught
cave
change
charge
chicken
child
children
circus
cities
city
class
clean
close
cloth
clothes
club
coal
coat
cold
color
come
coming
company
corn
corner
cotton
could
countries
country
course
cousin
cover
cow
cry
cup
cut
dad
daddy
dark
day
dear
decide
deep
deer
did
different
dinner
discover
dishes
do
doctor
does
dog
doing
doll
dollar
done
door
down
dragon
draw
dream
dress
drink
drive
drop
dry
duck
during
each
early
earth
east
eat
eating
egg
eight
eighth
else
end
enjoy
enough
even
evening
ever
every
everybody
everyone
everything
example
except
excuse
eyes
face
fall
family
far
farm
fast
fat
father
favorite
feed
feel
feeling
feet
fell
felt
few
field
fifth
fight
finally
find
fine
finish
fire
first
fish
fishing
five
fix
flag
floor
flower
fly
flying
follow
following
food
foot
for
forest
forgot
form
found
four
fourth
fox
free
Friday
friend
from
front
full
fun
funny
future
game
gas
gave
get
getting
girl
give
given
glad
go
goat
goes
going
gold
gone
good
good-by
got
grade
grandmother
grass
great
green
grew
ground
group
grow
guess
had
hair
half
hand
happened
happiest
happiness
happy
hard
harden
has
hat
have
having
he
head
hear
heard
heat
heavy
held
hello
help
hen
here
high
hill
him
himself
his
hit
hold
hole
home
hop
hope
horse
hospital
hot
hour
house
how
hundred
hurry
hurt
I
ice
idea
if
important
in
inch
inside
instead
interest
into
is
it
its
job
jump
just
keep
kept
kids
kind
king
kitten
knew
knife
know
known
lady
lake
land
large
largest
last
late
later
laugh
lay
learn
leave
left
leg
let
letter
life
light
like
line
list
little
live
lives
living
long
look
looking
lost
lot
love
lovely
loving
lunch
mad
made
mail
make
making
man
many
may
maybe
me
mean
meat
men
merry
met
middle
might
mile
milk
mind
mine
minute
miss
mom
money
month
moon
more
morning
most
mother
mountain
mouse
mouth
move
much
music
must
my
myself
nail
name
near
nearly
need
never
new
news
next
nice
night
nine
ninth
no
noise
north
not
nothing
now
number
nut
ocean
of
off
office
often
oh
oil
old
on
once
one
only
open
or
orange
order
other
our
out
outside
over
own
page
paint
pair
pan
paper
parent
park
part
party
pass
past
pay
peanut
pencil
penny
people
person
pet
pick
picnic
picture
piece
pig
place
plan
plane
planet
plant
play
playing
please
pocket
point
police
pony
poor
post
present
president
pretty
principal
prize
probably
problem
pull
put
quite
rabbit
race
radio
rain
raise
ran
rat
reach
read
reading
ready
real
really
reason
receive
red
remember
rest
return
rich
ride
riding
right
river
road
rock
rocket
rode
room
round
rule
run
running
said
salt
same
sang
sat
Saturday
saw
say
says
scare
school
sea
seat
second
see
seem
seen
send
sending
sent
sentence
set
seven
seventh
several
sew
shall
she
sheep
ship
shoe
short
shot
should
show
sick
side
sight
since
sing
sister
sit
sitting
six
sixth
sky
sled
sleep
slowly
small
smoke
snow
so
soap
some
someone
something
sometime
song
soon
sorry
sound
south
space
special
spell
spelling
spent
sport
spring
stairs
stand
start
state
stay
step
stick
still
stood
stop
stopped
store
stories
story
stove
street
strong
student
study
such
sudden
suddenly
sugar
suit
summer
sun
Sunday
supper
suppose
sure
surely
surprise
swimming
table
take
taken
taking
talk
talking
tall
teach
teacher
team
teeth
tell
ten
tenth
than
thank
that
the
their
them
then
there
these
they
thing
think
thinking
third
this
those
though
thought
three
threw
through
throw
time
tired
to
today
together
told
tomorrow
tonight
too
took
top
toward
toy
trade
train
tree
trick
tried
trip
trouble
truck
truly
try
trying
turn
turtle
twelve
twenty
two
uncle
under
until
up
upon
us
use
usually
very
village
visit
wagon
wait
walk
walking
want
warm
was
wash
watch
water
way
we
wear
weather
week
well
went
were
west
wet
what
wheat
when
where
which
while
white
who
whole
whose
why
wife
wild
will
win
wind
window
winter
wish
with
without
woke
woman
women
won
wood
wool
word
work
working
world
would
write
writing
written
wrong
wrote
yard
year
yell
yellow
yes
yesterday
yet
you
young
your
zoo
